_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,please_classify_the_sample,dataset,please_classify_the_sample_gold,sample
1467549596,11/26/2017 20:18:26,false,3086334186,,11/26/2017 20:17:00,false,clixsense,0.7143,18490425,SRB,00,Belgrade,178.221.186.47,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,it's also unnecessary because if whites want to play there by themselves whites should also build it by themselves
1467549596,11/26/2017 20:19:38,false,3086337726,,11/26/2017 20:17:49,false,elite,0.8571,43852040,VEN,15,Agua Fria,200.82.246.155,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,it's also unnecessary because if whites want to play there by themselves whites should also build it by themselves
1467549596,11/26/2017 20:20:30,false,3086340490,,11/26/2017 20:17:13,false,elite,0.7143,42817551,EGY,11,Cairo,41.234.33.241,coherent,incoherent_sentences_arg2_matching_connectives.txt,,it's also unnecessary because if whites want to play there by themselves whites should also build it by themselves
1467549596,11/26/2017 20:22:48,false,3086348381,,11/26/2017 20:17:26,false,clixsense,0.7143,40844109,TUR,44,Malatya,78.162.168.150,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,it's also unnecessary because if whites want to play there by themselves whites should also build it by themselves
1467549597,11/26/2017 20:19:30,false,3086337473,,11/26/2017 20:17:53,false,neodev,0.7143,43770903,VEN,15,San Fernando,181.34.117.102,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"one learns a lot from this book, or seems to, about crippling federal bureaucracy specifically the chamber voted 69-26 friday to convict the judge of perjury and bribery conspiracy"
1467549597,11/26/2017 20:19:38,false,3086337717,,11/26/2017 20:17:49,false,elite,0.8571,43852040,VEN,15,Agua Fria,200.82.246.155,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"one learns a lot from this book, or seems to, about crippling federal bureaucracy specifically the chamber voted 69-26 friday to convict the judge of perjury and bribery conspiracy"
1467549597,11/26/2017 20:20:30,false,3086340499,,11/26/2017 20:17:13,false,elite,0.7143,42817551,EGY,11,Cairo,41.234.33.241,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"one learns a lot from this book, or seems to, about crippling federal bureaucracy specifically the chamber voted 69-26 friday to convict the judge of perjury and bribery conspiracy"
1467549597,11/26/2017 20:22:48,false,3086348375,,11/26/2017 20:17:26,false,clixsense,0.7143,40844109,TUR,44,Malatya,78.162.168.150,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"one learns a lot from this book, or seems to, about crippling federal bureaucracy specifically the chamber voted 69-26 friday to convict the judge of perjury and bribery conspiracy"
1467549598,11/26/2017 20:13:25,false,3086320430,,11/26/2017 20:12:27,false,gifthunterclub,1.0,43816182,VEN,26,Anare,200.93.106.24,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"i find myself in an adversary relationship with laurel bank, and i am not inclined to extend myself as far as any favors are concerned however this can be thought of as a pessimistic prediction, perhaps driven by the sequestering effects of the gramm-rudman deficit reduction law or possibly a relaxation of tensions with the soviet union"
1467549598,11/26/2017 20:13:57,false,3086321813,,11/26/2017 20:12:53,false,neodev,0.7143,43803459,VEN,23,Ciudad Ojeda,190.142.137.215,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"i find myself in an adversary relationship with laurel bank, and i am not inclined to extend myself as far as any favors are concerned however this can be thought of as a pessimistic prediction, perhaps driven by the sequestering effects of the gramm-rudman deficit reduction law or possibly a relaxation of tensions with the soviet union"
1467549598,11/26/2017 20:14:27,false,3086323349,,11/26/2017 20:12:52,false,clixsense,0.7143,38687457,POL,"","",37.248.156.238,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"i find myself in an adversary relationship with laurel bank, and i am not inclined to extend myself as far as any favors are concerned however this can be thought of as a pessimistic prediction, perhaps driven by the sequestering effects of the gramm-rudman deficit reduction law or possibly a relaxation of tensions with the soviet union"
1467549598,11/26/2017 20:16:14,false,3086328037,,11/26/2017 20:14:50,false,clixsense,1.0,43628047,TUR,81,Adana,176.88.58.150,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"i find myself in an adversary relationship with laurel bank, and i am not inclined to extend myself as far as any favors are concerned however this can be thought of as a pessimistic prediction, perhaps driven by the sequestering effects of the gramm-rudman deficit reduction law or possibly a relaxation of tensions with the soviet union"
1467549599,11/26/2017 20:24:43,false,3086354362,,11/26/2017 20:24:05,false,elite,0.8571,43983533,BIH,01,Sarajevo,77.77.217.186,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,yet he took little businesslike care with his cattle for instance one washington couple recently sold their liquor store after 34 years in business that included four robbery deaths and 16 robberies or burglaries on the premises
1467549599,11/26/2017 20:26:00,false,3086358591,,11/26/2017 20:23:39,false,clixsense,0.7143,42160208,UKR,04,Dnepropetrovsk,193.19.240.114,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,yet he took little businesslike care with his cattle for instance one washington couple recently sold their liquor store after 34 years in business that included four robbery deaths and 16 robberies or burglaries on the premises
1467549599,11/26/2017 20:26:04,false,3086358792,,11/26/2017 20:24:02,false,neodev,1.0,42793188,VEN,"","",190.201.13.178,coherent,incoherent_sentences_arg2_matching_connectives.txt,,yet he took little businesslike care with his cattle for instance one washington couple recently sold their liquor store after 34 years in business that included four robbery deaths and 16 robberies or burglaries on the premises
1467549599,11/26/2017 20:41:56,false,3086415384,,11/26/2017 20:37:42,false,elite,1.0,37009953,SRB,00,Belgrade,77.46.190.185,coherent,incoherent_sentences_arg2_matching_connectives.txt,,yet he took little businesslike care with his cattle for instance one washington couple recently sold their liquor store after 34 years in business that included four robbery deaths and 16 robberies or burglaries on the premises
1467549600,11/26/2017 20:27:19,false,3086363334,,11/26/2017 20:26:16,false,neodev,1.0,42793188,VEN,"","",190.201.13.178,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"it's a bottom-line issue for example he showed an unbroken, still-ticking pocket watch that he retrieved for one woman"
1467549600,11/26/2017 20:27:37,false,3086364387,,11/26/2017 20:26:10,false,elite,0.8571,41171441,BIH,01,Sarajevo,109.175.96.174,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"it's a bottom-line issue for example he showed an unbroken, still-ticking pocket watch that he retrieved for one woman"
1467549600,11/26/2017 20:29:57,false,3086371931,,11/26/2017 20:25:57,false,clixsense,0.6667,36107353,BIH,01,Sarajevo,92.36.168.111,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it's a bottom-line issue for example he showed an unbroken, still-ticking pocket watch that he retrieved for one woman"
1467549600,11/26/2017 20:57:15,false,3086459097,,11/26/2017 20:56:13,false,elite,1.0,44064189,BIH,01,Sarajevo,109.175.99.121,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it's a bottom-line issue for example he showed an unbroken, still-ticking pocket watch that he retrieved for one woman"
1467549601,11/26/2017 20:14:42,false,3086323814,,11/26/2017 20:13:16,false,neodev,0.6,43380803,VEN,07,Guacara,190.203.88.61,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,the pressure for change will rise with costs so bank it
1467549601,11/26/2017 20:14:47,false,3086324115,,11/26/2017 20:13:24,false,clixsense,1.0,43628047,TUR,81,Adana,176.88.58.150,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,the pressure for change will rise with costs so bank it
1467549601,11/26/2017 20:14:56,false,3086324496,,11/26/2017 20:13:27,false,elite,0.7143,43639661,EGY,11,Cairo,41.69.226.62,coherent,incoherent_sentences_arg2_matching_connectives.txt,,the pressure for change will rise with costs so bank it
1467549601,11/26/2017 20:44:18,false,3086422868,,11/26/2017 20:43:29,false,elite,1.0,41274513,BIH,01,Sarajevo,109.175.99.121,coherent,incoherent_sentences_arg2_matching_connectives.txt,,the pressure for change will rise with costs so bank it
1467549602,11/26/2017 20:18:52,false,3086335691,,11/26/2017 20:18:16,false,elite,0.8571,40258091,BIH,01,Sarajevo,77.77.217.186,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"which posted solid gains in the latest session for example the quality of earnings wasn't as high as i expected,"" said eric philo, an analyst for goldman, sachs & co"
1467549602,11/26/2017 20:20:11,false,3086339419,,11/26/2017 20:18:27,false,neodev,0.6667,43875791,SRB,00,Belgrade,178.223.169.255,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"which posted solid gains in the latest session for example the quality of earnings wasn't as high as i expected,"" said eric philo, an analyst for goldman, sachs & co"
1467549602,11/26/2017 20:20:14,false,3086339641,,11/26/2017 20:18:18,false,neodev,0.7143,42871914,EGY,05,Tanta,156.216.128.220,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"which posted solid gains in the latest session for example the quality of earnings wasn't as high as i expected,"" said eric philo, an analyst for goldman, sachs & co"
1467549602,11/26/2017 20:21:04,false,3086342540,,11/26/2017 20:18:35,false,neodev,0.7143,43838299,VEN,15,Agua Fria,200.82.246.131,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"which posted solid gains in the latest session for example the quality of earnings wasn't as high as i expected,"" said eric philo, an analyst for goldman, sachs & co"
1467549603,11/26/2017 20:22:09,false,3086346089,,11/26/2017 20:21:02,false,elite,1.0,29768955,GBR,H2,Lancaster,81.157.144.220,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"stock prices rallied as the georgia-pacific bid broke the market's recent gloom for instance the treasury's benchmark 30-year bond gained about an eighth of a point, or about $1.25 for each $1,000 face amount"
1467549603,11/26/2017 20:22:56,false,3086348723,,11/26/2017 20:21:02,false,neodev,0.8571,43366628,VEN,13,Barquisimeto,201.249.126.199,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"stock prices rallied as the georgia-pacific bid broke the market's recent gloom for instance the treasury's benchmark 30-year bond gained about an eighth of a point, or about $1.25 for each $1,000 face amount"
1467549603,11/26/2017 20:24:10,false,3086352369,,11/26/2017 20:23:07,false,elite,0.7143,43961443,VEN,"","",190.199.77.119,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"stock prices rallied as the georgia-pacific bid broke the market's recent gloom for instance the treasury's benchmark 30-year bond gained about an eighth of a point, or about $1.25 for each $1,000 face amount"
1467549603,11/26/2017 20:29:30,false,3086370677,,11/26/2017 20:22:19,false,elite,1.0,37009953,SRB,00,Belgrade,77.46.190.185,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"stock prices rallied as the georgia-pacific bid broke the market's recent gloom for instance the treasury's benchmark 30-year bond gained about an eighth of a point, or about $1.25 for each $1,000 face amount"
1467549604,11/26/2017 20:25:35,false,3086357132,,11/26/2017 20:24:12,false,elite,0.8571,43563855,RUS,56,Orël,109.61.160.226,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it never ceases to amaze me how the business world continues to trivialize the world's environmental problems (""is science, or private gain, driving ozone policy?"" by george melloan, business world, oct. 24) in particular the information-systems industry is still going to be a high-growth business, and we're confident that we have tremendous assets as a company.but we don't minimize the challenges of the near term"
1467549604,11/26/2017 20:27:04,false,3086362435,,11/26/2017 20:25:11,false,elite,0.7143,43400906,VEN,13,Barquisimeto,186.14.170.204,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it never ceases to amaze me how the business world continues to trivialize the world's environmental problems (""is science, or private gain, driving ozone policy?"" by george melloan, business world, oct. 24) in particular the information-systems industry is still going to be a high-growth business, and we're confident that we have tremendous assets as a company.but we don't minimize the challenges of the near term"
1467549604,11/26/2017 20:27:32,false,3086364162,,11/26/2017 20:24:33,false,elite,0.7143,43961443,VEN,"","",190.199.77.119,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it never ceases to amaze me how the business world continues to trivialize the world's environmental problems (""is science, or private gain, driving ozone policy?"" by george melloan, business world, oct. 24) in particular the information-systems industry is still going to be a high-growth business, and we're confident that we have tremendous assets as a company.but we don't minimize the challenges of the near term"
1467549604,11/26/2017 20:28:05,false,3086366187,,11/26/2017 20:26:50,false,clixsense,1.0,43868081,VEN,"","",190.199.77.119,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it never ceases to amaze me how the business world continues to trivialize the world's environmental problems (""is science, or private gain, driving ozone policy?"" by george melloan, business world, oct. 24) in particular the information-systems industry is still going to be a high-growth business, and we're confident that we have tremendous assets as a company.but we don't minimize the challenges of the near term"
1467549605,11/26/2017 20:21:49,false,3086345060,,11/26/2017 20:20:57,false,elite,0.7143,43691638,KEN,05,Nairobi,197.237.216.100,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"hoping to stay ahead of the pack, the company is emphasizing innovation for example at a hearing last week, democratic sen. chris dodd of connecticut told treasury secretary nicholas brady that ""chairman greenspan's"" announcement over the oct. 13 weekend was a ""very important statement"
1467549605,11/26/2017 20:22:56,false,3086348713,,11/26/2017 20:21:02,false,neodev,0.8571,43366628,VEN,13,Barquisimeto,201.249.126.199,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"hoping to stay ahead of the pack, the company is emphasizing innovation for example at a hearing last week, democratic sen. chris dodd of connecticut told treasury secretary nicholas brady that ""chairman greenspan's"" announcement over the oct. 13 weekend was a ""very important statement"
1467549605,11/26/2017 20:23:27,false,3086350394,,11/26/2017 20:21:00,false,elite,0.8571,43563855,RUS,56,Orël,109.61.160.226,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"hoping to stay ahead of the pack, the company is emphasizing innovation for example at a hearing last week, democratic sen. chris dodd of connecticut told treasury secretary nicholas brady that ""chairman greenspan's"" announcement over the oct. 13 weekend was a ""very important statement"
1467549605,11/26/2017 20:23:35,false,3086350968,,11/26/2017 20:22:10,false,elite,1.0,29768955,GBR,H2,Lancaster,81.157.144.220,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"hoping to stay ahead of the pack, the company is emphasizing innovation for example at a hearing last week, democratic sen. chris dodd of connecticut told treasury secretary nicholas brady that ""chairman greenspan's"" announcement over the oct. 13 weekend was a ""very important statement"
1467549606,11/26/2017 20:21:44,false,3086344788,,11/26/2017 20:20:25,false,elite,0.8571,40258091,BIH,01,Sarajevo,77.77.217.186,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it reflects values of a generation that wants more time for families and personal interests in other words magazines could, like other brands, find that they have only a limited life"
1467549606,11/26/2017 20:22:28,false,3086347232,,11/26/2017 20:20:17,false,neodev,0.7143,42871914,EGY,05,Tanta,156.216.128.220,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"it reflects values of a generation that wants more time for families and personal interests in other words magazines could, like other brands, find that they have only a limited life"
1467549606,11/26/2017 20:23:32,false,3086350765,,11/26/2017 20:21:54,false,elite,0.8571,41171441,BIH,01,Sarajevo,109.175.96.174,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"it reflects values of a generation that wants more time for families and personal interests in other words magazines could, like other brands, find that they have only a limited life"
1467549606,11/26/2017 20:51:57,false,3086444697,,11/26/2017 20:51:01,false,elite,1.0,44064189,BIH,01,Sarajevo,109.175.99.121,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"it reflects values of a generation that wants more time for families and personal interests in other words magazines could, like other brands, find that they have only a limited life"
1467549607,11/26/2017 20:28:31,false,3086367379,,11/26/2017 20:26:13,false,clixsense,0.7143,42160208,UKR,04,Dnepropetrovsk,193.19.240.114,incoherent,incoherent_sentences_arg2_matching_connectives.txt,,"even if the press is ready to seize and misinterpret, these are not very complicated thoughts so the computers find all the key words they can, but the editors confirm every one"
1467549607,11/26/2017 20:28:36,false,3086367654,,11/26/2017 20:27:09,false,elite,0.7143,43400906,VEN,13,Barquisimeto,186.14.170.204,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"even if the press is ready to seize and misinterpret, these are not very complicated thoughts so the computers find all the key words they can, but the editors confirm every one"
1467549607,11/26/2017 20:28:39,false,3086367874,,11/26/2017 20:26:31,false,neodev,1.0,43615764,EGY,"","",62.139.97.178,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"even if the press is ready to seize and misinterpret, these are not very complicated thoughts so the computers find all the key words they can, but the editors confirm every one"
1467549607,11/26/2017 20:29:50,false,3086371563,,11/26/2017 20:26:57,false,neodev,0.7143,38762820,VEN,25,Caracas,186.167.243.157,coherent,incoherent_sentences_arg2_matching_connectives.txt,,"even if the press is ready to seize and misinterpret, these are not very complicated thoughts so the computers find all the key words they can, but the editors confirm every one"
1467549608,11/26/2017 20:12:50,false,3086318956,,11/26/2017 20:11:40,false,clixsense,0.7143,38687457,POL,"","",37.248.156.238,coherent,incoherent_sentences_arg2_matching_connectives.txt,,their report galvanized other molecular biologists because it's contrary to common sense
1467549608,11/26/2017 20:13:21,false,3086320205,,11/26/2017 20:11:38,false,clixsense,1.0,43628047,TUR,81,Adana,176.88.58.150,coherent,incoherent_sentences_arg2_matching_connectives.txt,,their report galvanized other molecular biologists because it's contrary to common sense
1467549608,11/26/2017 20:13:30,false,3086320617,,11/26/2017 20:11:45,false,clixsense,0.8571,40400705,HND,08,Tegucigalpa,190.92.43.16,coherent,incoherent_sentences_arg2_matching_connectives.txt,,their report galvanized other molecular biologists because it's contrary to common sense
